#Types Before Cut: 11091
#Types After Cut: 9690
#Search Hits: 0
361	27	23.073	слова
362	14	22.937	d
363	14	22.937	вещи
364	14	22.937	мои
365	14	22.937	хотелось
366	11	22.742	квартире
367	36	22.654	одна
368	21	22.612	долго
369	20	22.414	друг
370	20	22.414	места
371	16	22.247	видео
372	16	22.247	девять
373	28	22.238	совсем
374	18	22.171	русский
375	17	22.157	кем
376	29	21.512	сама
377	12	21.402	нравятся
378	8	21.093	acc
379	8	21.093	komm
380	8	21.093	nom
381	8	21.093	ааa
382	8	21.093	английский
383	8	21.093	брови
384	8	21.093	вертолет
385	8	21.093	говорящийа
386	8	21.093	говорящийб
387	8	21.093	грустно
388	8	21.093	делаешь
389	8	21.093	егэ
390	8	21.093	замечательно
391	8	21.093	звук
392	8	21.093	иду
393	8	21.093	интересного
394	8	21.093	колесико
395	8	21.093	любишь
396	8	21.093	лёва
397	8	21.093	мамой
398	8	21.093	мемы
399	8	21.093	моих
400	8	21.093	надя
401	8	21.093	неудобно
402	8	21.093	никит
403	8	21.093	одиннадцать
404	8	21.093	поехал
405	8	21.093	прихожу
406	8	21.093	смотрел
407	8	21.093	смотрела
408	8	21.093	студентов
409	8	21.093	типо
410	8	21.093	умер
411	8	21.093	учился
412	8	21.093	учится
413	8	21.093	хе
414	8	21.093	эт
415	30	20.877	чего
416	13	20.702	бывает
417	13	20.702	говорила
418	13	20.702	специально
419	19	20.537	павел
420	14	20.335	надеюсь
421	10	20.287	интересные
422	10	20.287	картинка
423	10	20.287	рассказывала
424	27	19.536	ей
425	40	19.474	говорить
426	11	19.086	будто
427	11	19.086	знаете
428	11	19.086	отец
429	11	19.086	пошел
430	19	18.961	хотел
431	12	18.496	делали
432	12	18.496	купить
433	12	18.496	семье
434	7	18.456	бабушкой
435	7	18.456	боже
436	7	18.456	буквы
437	7	18.456	двери
438	7	18.456	детство
439	7	18.456	детьми
440	7	18.456	друзьями
441	7	18.456	ездить
442	7	18.456	ехали
443	7	18.456	живёт
444	7	18.456	забыла
445	7	18.456	задание
446	7	18.456	карл
447	7	18.456	квартиры
448	7	18.456	красивый
449	7	18.456	ненавижу
450	7	18.456	нету
451	7	18.456	ноль
452	7	18.456	одни
453	7	18.456	парень
454	7	18.456	понравилась
455	7	18.456	пошёл
456	7	18.456	пытаюсь
457	7	18.456	ребят
458	7	18.456	секунд
459	7	18.456	скажи
460	7	18.456	сорок
461	7	18.456	супер
462	7	18.456	троих
463	7	18.456	троллейбус
464	7	18.456	человечек
465	7	18.456	читаю
466	7	18.456	чё
467	16	18.279	реально
468	16	18.279	уж
469	13	18.217	другую
470	13	18.217	улице
471	153	17.950	еще
472	9	17.851	брали
473	9	17.851	друзей
474	9	17.851	едем
475	9	17.851	женщина
476	9	17.851	жил
477	9	17.851	институте
478	9	17.851	маленькая
479	9	17.851	мое
480	9	17.851	нечего
